player_id,Player,Games Played,Minutes,PER,NBA Rating,OREB%,DREB%,REB%,AST/TO,Points,Assists,Rebounds
4065663,Josh Okogie,40.0,15.625,16.359,12.721251,7.911,0.0,9.884,1.0645162,7.075,0.825,2.825
4065673,Tony Bradley,14.0,8.071428,23.276,9.75,0.0,0.0,0.0,1.2,4.357143,0.42857143,3.0
4065731,Jay Huff,64.0,11.6875,18.217,12.067187,0.0,0.0,0.0,1.117647,6.859375,0.59375,2.015625
4065732,De'Andre Hunter,64.0,27.1875,15.985,25.335155,2.744,0.0,8.082,1.1219512,17.0,1.4375,4.03125
4065733,Ty Jerome,70.0,19.885714,21.046,22.185,0.0,0.0,0.0,2.576087,12.542857,3.3857143,2.4714286
4065778,Max Strus,50.0,25.46,12.613,19.43,0.0,0.0,0.0,2.925926,9.42,3.16,4.34
4065804,Sam Hauser,71.0,21.704226,12.882,14.837323,0.0,0.0,0.0,2.7826087,8.521127,0.90140843,3.1549296
4066211,Robert Williams III,20.0,17.55,18.953,17.0475,0.0,0.0,0.0,1.2352941,5.8,1.05,5.9
4066218,Grant Williams,16.0,29.9375,11.493,20.728125,0.0,0.0,0.0,1.3214285,10.375,2.3125,5.125
4066259,De'Aaron Fox,62.0,36.14516,18.378,39.20242,2.664,0.0,7.364,2.2528737,23.532259,6.322581,4.806452
4066261,Bam Adebayo,78.0,34.28205,18.938,36.058334,0.0,0.0,0.0,2.0931678,18.076923,4.320513,9.602564
4066262,Malik Monk,65.0,31.6,15.012,30.013847,0.0,0.0,0.0,2.2767296,17.184616,5.5692306,3.7692308
4066320,Desmond Bane,69.0,31.956522,17.906,35.43406,0.0,0.0,0.0,2.1834319,19.231884,5.347826,6.057971
4066328,Jarrett Allen,82.0,28.0,22.098,30.761585,0.0,0.0,0.0,1.628866,13.45122,1.9268292,9.731708
4066336,Lauri Markkanen,47.0,31.404255,15.619,28.56383,0.0,0.0,0.0,1.060606,18.978724,1.4893616,5.9148936
4066354,Payton Pritchard,80.0,28.3875,17.599,25.641876,0.0,0.0,0.0,3.3614457,14.3,3.4875,3.8375
4066372,Kevin Huerter,69.0,24.333334,11.311,17.37174,1.955,0.0,6.63,2.3283582,9.869565,2.2608695,2.9710145
4066383,Miles Bridges,64.0,31.703125,17.77,34.56797,0.0,0.0,0.0,1.8235294,20.3125,3.875,7.515625
4066387,Amir Coffey,72.0,24.277779,11.259,14.932639,0.0,0.0,0.0,1.7111111,9.666667,1.0694444,2.2361112
4066421,Lonzo Ball,35.0,22.2,12.199,16.825714,0.0,0.0,0.0,2.804878,7.6285715,3.2857144,3.3714285
4066436,De'Anthony Melton,6.0,20.166666,13.319,18.391666,0.0,0.0,0.0,1.7,10.333333,2.8333333,3.3333333
4066457,Austin Reaves,73.0,34.931507,18.165,34.993835,0.0,0.0,0.0,2.378531,20.205479,5.767123,4.5068493
4066648,Rui Hachimura,59.0,31.677965,13.609,22.912712,0.0,0.0,0.0,1.6938776,13.135593,1.4067796,5.0
4066757,Sam Merrill,71.0,19.732395,11.106,12.8225355,0.0,0.0,0.0,3.0857143,7.169014,1.5211267,2.2112677
4066993,Dru Smith,14.0,19.142857,13.355,13.396429,0.0,0.0,0.0,1.3529412,6.214286,1.6428572,2.5714285
4222252,Isaiah Hartenstein,57.0,27.894737,18.89,30.328947,0.0,0.0,0.0,2.28125,11.175439,3.8421052,10.719298
4251,Paul George,41.0,32.536587,14.525,29.276829,0.0,0.0,0.0,1.6792452,16.219513,4.3414636,5.3414636
4277811,Collin Sexton,63.0,27.904762,16.679,28.257936,0.0,0.0,0.0,1.65,18.396826,4.1904764,2.7142856
4277812,Alex Reese,15.0,14.4,14.009,10.623334,4.536,0.0,12.313,0.6666667,5.0666666,0.26666668,3.1333334
4277813,Herbert Jones,20.0,32.4,10.408,20.5075,0.0,0.0,0.0,1.8571428,10.25,3.25,3.9
4277843,Gary Trent Jr.,74.0,25.581081,11.763,16.812162,0.0,0.0,0.0,2.0714285,11.135135,1.1756756,2.2702703
4277847,Wendell Carter Jr.,68.0,25.852942,13.702,20.309559,0.0,0.0,0.0,1.7402598,9.088235,1.9705882,7.2352943
4277848,Marvin Bagley III,31.0,8.548388,18.405,8.356451,15.02,0.0,16.589,0.9166667,4.387097,0.3548387,2.7096775
4277869,Jose Alvarado,56.0,24.392857,13.4,20.012499,0.0,0.0,0.0,3.011628,10.339286,4.625,2.4285715
4277892,Marcus Garrett,4.0,19.75,8.781,13.3625,0.0,0.0,0.0,2.1666667,7.0,3.25,1.5
4277905,Trae Young,76.0,36.039474,18.365,42.92171,0.0,0.0,0.0,2.4788733,24.223684,11.578947,3.1052632
4277919,Mo Bamba,32.0,12.90625,13.907,11.139063,8.781,0.0,19.738,0.9,4.3125,0.5625,4.53125
4277951,Luka Garza,39.0,5.6153846,18.864,5.6666665,0.0,0.0,0.0,0.9166667,3.5384614,0.2820513,1.3846154
4277956,Jordan Poole,68.0,29.42647,16.711,31.302942,0.0,0.0,0.0,1.4852941,20.455883,4.4558825,2.985294
4277961,Jaren Jackson Jr.,74.0,29.824324,19.677,34.9277,0.0,0.0,0.0,0.96732026,22.175676,2.0,5.635135
4278031,Oshae Brissett,6.0,23.666666,9.869,14.233334,0.0,0.0,0.0,0.5,8.666667,0.6666667,3.6666667
4278039,Nickeil Alexander-Walker,82.0,25.280487,11.642,17.614634,0.0,0.0,0.0,2.2525253,9.426829,2.7195122,3.2317073
